"id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","dataset_id","weight_kg","weight_class"
"2016-P","EXH",474.253415880229,"Petrelli, Francesco","Foiano della Chiana","Tuscany","Italy","Campionato dello Zuccone",NA,NA,281.711785710373,518.521747409424,0,"Jack O'Lantern",16,213.414037146103,"light"
"2017-P","922",613.014323343792,"Graham, Todd","Shawville","Quebec","Canada","Potirothon de Gentilly",NA,NA,0,0,0,"Big Max",16,275.856445504706,"light"
"2019-P","1065",471.080687308756,"Terwin, Marlene","Tracadie-Sheila","New Brunswick","Canada","Le Festival Provincial de la Citrouille geante de Neguac Inc.",NA,NA,266.767407947124,408.322382223155,11.7713228361936,"Autumn Gold",16,211.98630928894,"light"
"2014-P","531",1016.90539903281,"Poirier, Jim","Gentilly","Quebec","Canada","Potirothon de Gentilly",NA,NA,0,0,0,"Big Max",16,457.607429564765,"medium"
"2015-P","1485",300.03800290249,"John Butler, Art Johnston","Gentilly","Quebec","Canada","Potirothon de Gentilly",NA,NA,0,0,0,"Jack O'Lantern",16,135.017101306121,"light"
"2014-P","115",1527.77828861439,"Bruer, Lisa",NA,"Quebec","Canada","Port Elgin Pumpkinfest","1542 Kline","2009 Wallace",428.638724819795,1501.02656562612,2.01589806678074,"Wolf",16,687.500229876477,"heavy"
"2016-P","454",1163.89991455459,"Halfiger, Monica","Paradise","Nova Scotia","Canada","AVGVG Glad Gardens","1873 Steil","1832 Midthum",387.86058955135,1094.26293412222,2.04186273304394,"Atlantic Giant",16,523.754961549566,"medium"
"2015-P","572",1011.74727978683,"Watson, Pat","New Minas","Nova Scotia","Canada","The Great Howard Dill Giant Pumpkin Classic","1283 Swinimer","815 Swinimer",348.62863078409,934.549521285367,10.6196126109659,"Early Giant",16,455.286275904075,"medium"
"2018-P","663",952.240770658053,"Kline, Todd","Sherbrooke","Quebec","Canada","Potirothon de Gentilly",NA,NA,0,0,0,"Connecticut Field",16,428.508346796124,"light"
"2018-P","1335",353.776175409001,"Farrell, Travis","Lac du Bonnet","Manitoba","Canada","Roland Pumpkin Fair",NA,NA,0,0,0,"Autumn Gold",16,159.19927893405,"light"
"2016-P","1424",275.326231672959,"Giampa, Vincenzo","Castelfiorentino","Tuscany","Italy","Pesa la Zucca! Foiano",NA,NA,186.441486210667,163.913891764124,64.7234042938755,"Connecticut Field",16,123.896804252832,"light"
"2015-P","949",735.1602002461,"Lukes, Milan","Roland","Manitoba","Canada","Roland Pumpkin Fair","Mathison 1874.5 2013","Cornie Banman 995",331.873162213896,819.934026391159,0,"Cinderella",16,330.822090110745,"light"
"2019-P","1561",139.655641873985,"Bryson, Jim & Kelsey","Gentilly","Quebec","Canada","Potirothon de Gentilly",NA,NA,0,0,0,"Blue Hubbard",16,62.8450388432932,"light"
"2015-P","1422",366.085414914953,"Ashton, Courtney","Riviere-Verte","New Brunswick","Canada","Le Festival Provincial de la Citrouille geante de Neguac Inc.",NA,NA,258.011611569815,362.99678317653,0,"Big Max",16,164.738436711729,"light"
"2015-P","1555",252.68813301457,"Yada, Tsunehisa","Nishiwaki","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Champion",16,113.709659856556,"light"
"2019-P","338",1209.49459342682,"Kenneally, Brian","Aldergrove","British Columbia","Canada","BC Giant Pumpkin Weigh-off","892 Love","Self",386.490587657742,1274.86199766741,0,"Blue Hubbard",16,544.272567042067,"medium"
"2015-P","EXH",979.904901290398,"Kenneally, Victoria","Winkler","Manitoba","Canada","Roland Pumpkin Fair",NA,NA,0,0,0,"Howden",16,440.957205580679,"light"
"2014-P","668",920.111708470409,"Spivak, Tim","Steam Mill","Nova Scotia","Canada","AVGVG Glad Gardens","1727 Ansems","1813 Northrup",320.280202306719,781.481819714562,9.88321138241391,"Cinderella",16,414.050268811684,"light"
"2019-P","894",558.833237807906,"Les, Potirotheux",NA,"Quebec","Canada","Potirothon de Gentilly",NA,NA,0,0,0,"Spirit",16,251.474957013558,"light"
"2014-P","1092",560.74265600434,"Langridge, Annette","Goderich","Ontario","Canada","Woodbridge Fair GPC Weigh-off","1192 Werner","1813 Northrup",315.717892357414,620.947809841089,NA,"Cinderella",16,252.334195201953,"light"
"2014-P","957",596.030541482012,"Butler, John","RR#1 Delhi","Ontario","Canada","Bracebridge Agriculture Society Fall Fair","2009 Wallace","1495 Stelts",303.477782494855,683.130853573302,0,"Big Moose",16,268.213743666905,"light"
"2013-P","265",1076.64763340156,"Mumford, Kate","St-Georges","Quebec","Canada","Huglis Blueberry Ranch","1596 Werner","1382 Bryson",380.206444861796,1018.04543262553,1.97638849311484,"Spirit",16,484.491435030701,"medium"
"2016-P","373",1185.77099527564,"Ansems, Catharina","Blenheim","Ontario","Canada","Bracebridge Agriculture Society Fall Fair","2008 Neptune","1733 Kline",394.637373506022,1227.10750700779,0,"Rouge Vif d’Etampes",16,533.596947874037,"medium"
"2018-P","864",707.459455636446,"Pumpkin, Power","Bracebridge","Ontario","Canada","Erin Fall Fair Giant Pumpkin Weigh-off","2047 Sippel","2363 Holland",313.300589365202,768.845009217279,0,"Jack O'Lantern",16,318.356755036401,"light"
